技能对照参考表

暂定分位：
0~9	状态技能
10~299		称号技能（也有一部分独有技能）
300~399		成就
400~599		卡片及独有技能A组
600~699		BUFF实现
700~999		卡片及独有技能B组
1000~			教程 剧情 测试技能

技能编号	所属包			技能名		说明
0		示例			无		技能模块模板，可以直接拷贝了用，也是一个一定不存在的模块
	
1		基础包			胸部受伤
2		基础包			头部受伤
3		基础包			手部受伤
4		基础包			足部受伤

5		属性扩展包		中毒状态
6		属性扩展包		烧伤状态
7		属性扩展包		冻结状态
8		属性扩展包		麻痹状态
9		属性扩展包		混乱状态

=======================10~299：称号技能==========================
10		内定称号扩展包		生命 		技能点换2HP（少的那1点HP已经在升级时直接赠送了）
11		内定称号扩展包		攻防		技能点换4攻6防
12		内定称号扩展包		治疗		技能点治疗全部异常
13		内定称号扩展包		斗士		殴系称号基本特性，获得时+25殴熟，升级时额外增加殴熟
14		内定称号扩展包		剑士		斩系称号基本特性，获得时+25斩熟，升级时额外增加斩熟
15		内定称号扩展包		枪手		射系称号基本特性，获得时+25射熟，升级时额外增加射熟
16		内定称号扩展包		投手		投系称号基本特性，获得时+25投熟，升级时额外增加投熟
17		内定称号扩展包		拆弹		爆系称号基本特性，获得时+25爆熟，升级时额外增加爆熟（加强到5-7点了）
18		内定称号扩展包		超能		灵系称号基本特性，获得时+20灵熟，升级时额外增加灵熟
19		内定称号扩展包		无			爆系称号基本特性，陷阱回避率增加，再利用率增加；设置陷阱爆熟和经验额外加成（加强到额外1-2点了）
20		内定称号扩展包		无			爆系称号基本特性，合成爆炸物耐久增加
21		内定称号扩展包		变身		第一形态NPC死亡特效
22		内定称号扩展包		无			走路萌物踩雷率增加
23		内定称号扩展包		宝石		宝石骑士镶嵌宝石技能
24		内定称号扩展包		无			骑士系人物生命成长略微增加（每级期望多4/3点）
25		内定称号扩展包		圣光		宝石骑士技能
26		内定称号扩展包		聚能		宝石骑士技能
27		内定称号扩展包		流火		宝石骑士技能
28		内定称号扩展包		毅重		根性兄贵技能
29		内定称号扩展包		生命		根性兄贵生命上限成长增加、技能点获取生命上限增加
30		内定称号扩展包		压制		根性兄贵技能
31		内定称号扩展包		根性		根性兄贵食用补给HP恢复效果×2.5（根性的特性显示实际上用的是这个技能）
32		内定称号扩展包		格挡		街头霸王技能
33		内定称号扩展包		应变		街头霸王技能
34		内定称号扩展包		百战		街头霸王技能
35		内定称号扩展包		猛击		街头霸王技能
36		内定称号扩展包		偷袭		街头霸王技能
37		内定称号扩展包		灭气		街头霸王技能
38		内定称号扩展包		闷棍		街头霸王技能
39		内定称号扩展包		攻防		肌肉兄贵基础攻防成长增加、技能点获取基础攻防增加
40		内定称号扩展包		活化		肌肉兄贵技能
41		内定称号扩展包		神速		肌肉兄贵技能	
42		内定称号扩展包		恃勇		肌肉兄贵技能
43		内定称号扩展包		龙胆		肌肉兄贵技能
44		内定称号扩展包		金刚		肌肉兄贵技能
45		内定称号扩展包		重拳		肌肉兄贵技能
46		内定称号扩展包		破巧		肌肉兄贵技能
47		内定称号扩展包		花雨		灌篮高手技能（废弃）
48		内定称号扩展包		附魔		灌篮高手技能
49		内定称号扩展包		潜能		灌篮高手技能
50		内定称号扩展包		枭眼		灌篮高手技能
51		内定称号扩展包		百出		灌篮高手技能
