技能对照参考表 by Lein
暂定分位：
200~	称号技能
400~	独有技能
600~	BUFF实现
1000	教程 剧情 测试技能

技能编号	所属包			技能名		说明
201		内定称号扩展包		静息		狙击鹰眼技能
202		内定称号扩展包		破甲		狙击鹰眼技能
203		内定称号扩展包		瞄准		狙击鹰眼技能
204		内定称号扩展包		掠夺		狙击鹰眼技能
205		内定称号扩展包		咆哮		狙击鹰眼技能
206		内定称号扩展包		爆头		狙击鹰眼技能
207		内定称号扩展包		直感		见敌必斩技能
208		内定称号扩展包		强袭		见敌必斩技能
209		内定称号扩展包		舞钢		见敌必斩技能
210		内定称号扩展包		歼灭		见敌必斩技能
211		内定称号扩展包		谨慎		拆弹专家技能
212		内定称号扩展包		冷静		拆弹专家技能
213		内定称号扩展包		反思		拆弹专家技能
214		内定称号扩展包		专注		拆弹专家技能
215		内定称号扩展包		高能		拆弹专家技能
216		内定称号扩展包		双响		拆弹专家技能
217		内定称号扩展包		特攻		黑衣组织技能
218		内定称号扩展包		渗透		黑衣组织技能
219		内定称号扩展包		淬毒		黑衣组织特性
220		内定称号扩展包		查毒		黑衣组织特性
221		内定称号扩展包		衰弱		黑衣组织技能
222		内定称号扩展包		催化		黑衣组织技能
223		内定称号扩展包		暗杀		黑衣组织技能
224		内定称号扩展包		强毒		黑衣组织特性
225		内定称号扩展包		高速		高速成长特性
226		内定称号扩展包		神智		高速成长技能
227		内定称号扩展包		神权		高速成长技能
228		内定称号扩展包		神击		高速成长技能
229		内定称号扩展包		神功		高速成长技能
230		内定称号扩展包		带电		锡安成员特性
231		内定称号扩展包		强电		锡安成员特性
232		内定称号扩展包		力场		锡安成员技能
233		内定称号扩展包		网瘾		锡安成员特性
234		内定称号扩展包		破解		锡安成员技能
235		内定称号扩展包		探测		锡安成员技能
236		内定称号扩展包		科学		锡安成员技能
237		内定称号扩展包		EMP 		锡安成员技能
238		内定称号扩展包		过载		锡安成员技能
239		内定称号扩展包		对偶		最强大脑技能
240		内定称号扩展包		洞察		最强大脑技能
241		内定称号扩展包		推广		最强大脑技能
242		内定称号扩展包		灵感		最强大脑技能
243		内定称号扩展包		证伪		最强大脑技能
244		内定称号扩展包		归约		最强大脑技能
245		内定称号扩展包		天选		宛如疾风/独立技能
246		内定称号扩展包		隐身		独立技能
247		内定称号扩展包		挖坑		独立技能（星莲船）
248		内定称号扩展包		天助		宛如疾风技能
249		内定称号扩展包		雷击		独立技能
250		内定称号扩展包		预感		独立技能
251		内定称号扩展包		天佑		宛如疾风技能
252		内定称号扩展包		天眼		宛如疾风技能
253		内定称号扩展包		天威		宛如疾风技能
254		内定称号扩展包		天义		宛如疾风技能
255		内定称号扩展包		无			宛如疾风特性
256		内定称号扩展包		无			铁拳无敌特性
257		内定称号扩展包		仁义		铁拳无敌技能
258		内定称号扩展包		尊严		铁拳无敌技能
259		内定称号扩展包		乱击		铁拳无敌技能
260		内定称号扩展包		熟练		铁拳无敌技能
261		内定称号扩展包		决战		铁拳无敌技能

400		卡片扩展包				重击		独立技能
401		卡片扩展包				硬化		独立技能
402		卡片扩展包				直死		独立技能
403		卡片扩展包				追击		独立技能
404		卡片扩展包				底力		独立技能
405		卡片扩展包				疾走		独立技能(芙蓉)
406		卡片扩展包				心火		独立技能(蓝凝)
407		卡片扩展包				红石		独立技能(丁香)
408		卡片扩展包				菁英		独立技能(教官)
409		卡片扩展包				不动		独立技能(飞龙)
410		卡片扩展包				猛风		独立技能(翼虎)
411		卡片扩展包				菁英		独立技能(电返)
412		卡片扩展包				反演		独立技能(NPC lemon)
413		卡片扩展包				键人		独立技能(K男)
414		卡片扩展包				必中		独立技能(某神)
415		卡片扩展包				影像		独立技能(黑曲)
416		卡片扩展包				团结		独立技能(挑战者)
417		卡片扩展包				姨妈		独立技能(CD延长)
418		卡片扩展包				赌博		独立技能(切糕掉落增加)
419		卡片扩展包				暗夜		独立技能(海外党)
420		卡片扩展包				结晶		独立技能(方块)
421		卡片扩展包				暴食		独立技能(补给效果提高)
422		卡片扩展包				枪斗		独立技能(枪托杀人)
423		卡片扩展包				魔鬼		独立技能(clef)
424		除错模式gtype1		除错		特殊模式1技能
425		除错模式gtype1		重载		特殊模式1技能
426		除错模式gtype1		整备		特殊模式1技能
427		除错模式gtype1		续命		特殊模式1技能
428		除错模式gtype1		阴谋		特殊模式1技能
429		除错模式gtype1		谨慎		特殊模式1技能
430		卡片扩展包				搬运		独立技能
431		卡片扩展包				n/a			独立技能(Rimefire)
432		卡片扩展包				冰心		NPC技能（蓝凝）
433		卡片扩展包				断肠		独立技能（蛋服）
434		卡片扩展包				核弹		独立技能(铜陵雷少)
435		卡片扩展包				保安		独立技能(2009保安团)
436		卡片扩展包				薪水		独立技能(保安收费)
437		卡片扩展包				EM			独立技能(YYF)
438		卡片扩展包				挽鸽		独立技能(pis)
439		卡片扩展包				ban			独立技能(黄翔)
440		卡片扩展包				父爱		独立技能(末日)
441		卡片扩展包				嗑药		独立技能($4)
442		卡片扩展包				E术			独立技能(EESB)
443		卡片扩展包				决斗		独立技能(legion commander)
444		卡片扩展包				怒吼		独立技能(ROTK)
445		卡片扩展包				转化		独立技能(赛垃圾)
446		卡片扩展包				死线		独立技能(亚巴顿)
447		卡片扩展包				热寂		独立技能(AA)
448		卡片扩展包				创世		独立技能(毒龙)
449		卡片扩展包				一指		独立技能(恶魔巫师)
450		卡片扩展包				淘汰		独立技能(斧王)
451		卡片扩展包				黑球		独立技能(卡尔)
452		卡片扩展包				转移		独立技能(帕克)
453		卡片扩展包				狂击		独立技能(熊战士)
454		卡片扩展包				团购		独立技能(团购)
455		卡片扩展包				无敌		独立技能(cty)
456		卡片扩展包				突击		独立技能(6d)
457		卡片扩展包				文盲		独立技能(唯一雷)
458		卡片扩展包				贝爷		独立技能(贝爷卡重制版)
459		卡片扩展包				菁英		NPC技能（红暮&蓝凝）
460		卡片扩展包				n/a			NPC技能（特殊，仅仅用来标记这个NPC有特殊技能）
461		卡片扩展包				驱散		NPC技能
462		卡片扩展包				抗性		NPC技能
463		卡片扩展包				藤甲		卡片技能（藤甲兵）
464		卡片扩展包				抖M			卡片技能（抖M挑战者）
465		卡片扩展包				圣火		卡片技能（FFF）
466		卡片扩展包				死神		卡片技能（necro）
467		卡片扩展包				巨力		卡片技能（sb）
468		卡片扩展包				崎岖		卡片技能（tiny）
469		卡片扩展包				自爆		卡片技能（techies）
470		卡片扩展包				狙击		卡片技能（sniper）
471		卡片扩展包				气功		卡片技能
472		卡片扩展包				窃取		卡片技能（魔导师）
473		卡片扩展包				神蚀		卡片技能（od）
474		卡片扩展包				厌食		卡片技能（厌食）
475		卡片扩展包				复活		特殊模式2技能
476		卡片扩展包				尊严		特殊模式3技能
477		卡片扩展包				忘我		卡片技能（唱戏）
478		卡片扩展包				悲运		卡片技能（悲运）
479		卡片扩展包				口胡		卡片技能（数体教）

600		内定称号扩展包		衰弱		黑衣组织DEBUFF
601		内定称号扩展包		EMP 		锡安成员DEBUFF
602		内定称号扩展包		晕眩		街头霸王猛击DEBUFF

1000	教程房gtype17		补给品	教程房用于储存进度
1010	测试技能gmskills	操弄		测试技能1
1011	测试技能gmskills 具现		测试技能2
